name,meaning,info_html,ex1,ex2,source
政,"politics, government",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%94%bf-sei-matsurigoto-meaning-government/
議,"deliberation, consultation, debate",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%ad%b0-gi-meaning-deliberation/
民,"people, nation, subjects",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%b0%91-min-tami-meaning-people/
連,"Learn Japanese kanji: 【 レン / つら(なる)、つ(れる) 】 Meaning: take along, lead, join, connect.",<em>(No detailed table found)</em>,Example #1彼の連絡先を知らない。ふりがなromajiEnglishかれのれんらくさきをしらない。kare no renrakusaki o shiranai..I don't know his contact information.,Example #2今日まで10日連続勤務だ。ふりがなromajiEnglishきょうまで10にちれんぞくきんむだ。Kyou made 10 nichi renzoku kinmu da.I've worked 10 consecutive days until today.,https://jlptsensei.com/learn-japanese-kanji/%e9%80%a3-ren-tsureru-meaning-take-along/
対,"Learn Japanese kanji: 【 タイ、 ツイ 】. Meaning: opposite, even, equal, versus, anti-, compare.",<em>(No detailed table found)</em>,Example #1それは反対の意味です。ふりがなromajiEnglishそれははんたいのいみです。sore wa hantai no imi desu.That has the opposite meaning.,Example #2彼女の応対は丁寧で正確だった。ふりがなromajiEnglishかのじょのおうたいはていねいでせいかくだった。kanojo no outai wa teinei de seikaku datta.Her response was polite and accurate.,https://jlptsensei.com/learn-japanese-kanji/%e5%af%be-tai-tsui-meaning-compare/
部,"Learn Japanese kanji: (ブ) Meaning: section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine.",<em>(No detailed table found)</em>,"Example #1仕事を全部、私がやる。ふりがなromajiEnglishしごとをぜんぶ、わたしがやる。shigoto o zenbu, watashi ga yaru.I will do all of the work.",Example #2私は気になる部分を見つけた。ふりがなromajiEnglishわたしはきになるぶぶんをみつけた。watashi wa ki ni naru bubun o mitsuketa.I found some parts that I am concerned about.,https://jlptsensei.com/learn-japanese-kanji/%e9%83%a8-bu-section/
合,"Learn Japanese kanji: 【 ゴウ、 ガッ、 カッ / あ(う)、あい 】 Meaning: fit, suit, join , 0.1.",<em>(No detailed table found)</em>,Example #1会合の場所はどこですか。ふりがなromajiEnglishかいごうのばしょはどこですか？kaigou no basho wa doko desuka ?Where will we meet?,Example #2待合室に５人の患者がいる。ふりがなromajiEnglishまちあいしつに５にんのかんじゃがいる。machiaishitsu ni 5 nin no kanja ga iru.There are five patients in the waiting room.,https://jlptsensei.com/learn-japanese-kanji/%e5%90%88-gou-au-meaning-fit/
市,"market, city, town",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e5%b8%82-shi-ichi-meaning-city/
内,"Learn Japanese kanji: 【ナイ / うち】 Meaning: inside, within, between, among, house, home.",<em>(No detailed table found)</em>,Example #1家内は私より少々年上だ。ふりがなromajiEnglishかないはわたしよりしょうしょうとしうえだ。kanai wa watashi yori shoushou toshi ue da.My wife is a little older than I am.,Example #2私は日本国内をよく旅行する。ふりがなromajiEnglishわたしはにほんこくないをよくりょこうする。watashi wa nihon kokunai o yoku ryokou suru.I travel a lot domestically in Japan.,https://jlptsensei.com/learn-japanese-kanji/%e5%86%85-nai-uchi-inside/
相,"Learn Japanese kanji: 【 ソウ、 ショウ / あい 】. Meaning: inter-, mutual, together, each other, minister of state.",<em>(No detailed table found)</em>,Example #1彼は話すに足る相手だ。ふりがなromajiEnglishかれははなすにたるあいてだ。kare wa hanasu ni taru aite da.He is somebody one can do business with.,Example #2私は首相にインタビューした。ふりがなromajiEnglishわたしはしゅしょうにインタビューした。watashi wa shushou ni intabyuu shita.I interviewed the Prime Minister.,https://jlptsensei.com/learn-japanese-kanji/%e7%9b%b8-sou-shou-ai-meaning-mutual/
