name,meaning,info_html,ex1,ex2,source
氏,"Learn Japanese kanji: 【 シ / うじ 】. Meaning: family name, surname, clan.",<em>(No detailed table found)</em>,"Example #1田中氏は医者ですね。ふりがなromajiEnglishたなかしはいしゃですね。tanakashi wa isha desu ne!Mr Tanaka is a doctor, isn't he?",Example #2私は山田氏の部下です。ふりがなromajiEnglishわたしはやまだしのぶかです。watashi wa Yamada shi no buka desu.I am Yamada's subordinate.,https://jlptsensei.com/learn-japanese-kanji/%e6%b0%8f-shi-uji-meaning-family-name/
統,"Learn Japanese kanji: 【 トウ / す(べる) 】. Meaning: ruling, governing.",<em>(No detailed table found)</em>,Example #1彼は大統領に選ばれた。ふりがなromajiEnglishかれはだいとうりょうにえらばれた。kare wa daitouryou ni erabareta.He was elected president.,Example #2その王はこの国を60年統治した。ふりがなromajiEnglishそのおうはこのくにを60ねんとうちした。sono ou wa kono kuni o 60 nen touchi shita.The king ruled the country for 60 years.,https://jlptsensei.com/learn-japanese-kanji/%e7%b5%b1-tou-meaning-ruling-governing/
基,"fundamentals, counter for machines, foundation",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e5%9f%ba-ki-moto-motoi-meaning-fundamentals-foundation/
価,"value, price",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e4%be%a1-ka-atai-meaning-value-price/
提,"propose, take along, carry in hand",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%8f%90-tei-sageru-meaning-propose-take-along-carry/
挙,"raise, plan, project, behavior, actions",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%8c%99-kyo-ageru-kozoru-meaning-raise-plan-project-behavior/
応,"apply, answer, yes, OK, reply, accept",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e5%bf%9c-ou-kotaeru-meaning-apply-answer-yes-ok-reply-accept/
企,"Learn Japanese kanji: 【 キ / くわだ(てる)、 たくら(む) 】. Meaning: undertake, scheme, design, attempt, plan.",<em>(No detailed table found)</em>,Example #1私はその企画を立てる。ふりがなromajiEnglishわたしはそのきかくをたてる。watashi wa sono kikaku o tateru.I will make that plan.,Example #2彼は企画課で働いている。ふりがなromajiEnglishかれはきかくかではたらいている。kare wa kikakuka de hataraite iru.He works in the planning department.,https://jlptsensei.com/learn-japanese-kanji/%e4%bc%81-ki-kuwadateru-takuramu-meaning-undertake-scheme-design-attempt-plan/
検,"examination, investigate",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%a4%9c-ken-shiraberu-meaning-examination-investigate/
藤,Learn Japanese kanji: 【 トウ / ふじ 】. Meaning: wisteria.,<em>(No detailed table found)</em>,Example #1私は藤色が大好きです。ふりがなromajiEnglishわたしはふじいろがだいすきです。watashi wa fujiiro ga daisuki desu.I love the light purple color.,Example #2君は伊藤の話を聞いたか。ふりがなromajiEnglishきみはいとうのはなしをきいたか。kimi wa Itou no hanashi o kiita ka?Have you heard Ito's story?,https://jlptsensei.com/learn-japanese-kanji/%e8%97%a4-tou-fuji-meaning-wisteria/
沢,"swamp, marsh, brilliance, grace",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%b2%a2-taku-sawa-meaning-swamp-grace/
裁,"tailor, judge, decision, cut out (pattern)",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%a3%81-sai-tatsu-sabaku-meaning-tailor-decision/
証,"evidence, proof, certificate",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%a8%bc-shou-akashi-meaning-evidence-certificate/
援,"abet, help, save",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%8f%b4-en-meaning-abet-help-save/
