grammar_name_en,grammar_name_jp,meaning,how_to_use_html,example_1,example_2,source
cha ikenai / ja ikenai,ちゃいけない・じゃいけない,Learn Japanese grammar: (cha ikenai) / (cha dame) / (ja ikenai) / (ja dame). Meaning: must not; may not; cannot (spoken Japanese). This grammar is...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb <s>て</s></td><td>ちゃだめ<br/>ちゃいけない<br/>ちゃいけません</td></tr><tr><td>Verb <s>で</s></td><td>じゃダメ<br/>じゃいけない<br/>じゃいけません</td></tr></tbody></table>",Example #1寝る前にスマホを見ちゃダメよ。hintromajiEnglishねるまえにスマホをみちゃだめよ。neru mae ni sumaho o micha dame yo.You shouldn't look at your smartphone before going to bed.,"Example #2ここはきけんなので、入っちゃダメだよ。hintromajiEnglishここはきけんなので、はいっちゃだめだよ。koko wa kiken na node, haiccha dame da yo.This area is dangerous, so you're not allowed to enter.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a1%e3%82%83%e3%81%84%e3%81%91%e3%81%aa%e3%81%84-%e3%81%98%e3%82%83%e3%81%84%e3%81%91%e3%81%aa%e3%81%84-cha-ikenai-ja-dame/
da / desu,だ / です,"Meaning: to be (am, is, are, were, used to). Learn Japanese Grammar 日本語文法 - JLPT N5 - だ・です (da / desu). Study how to use with examples & vocabulary list.","<table class=""table table-bordered table-sm usage""><tbody><tr><td>present<br/>affirmative</td><td>だ (casual)<br/>です (polite)</td></tr><tr><td>past<br/>affirmative</td><td>だった (casual)<br/>でした (polite)</td></tr><tr><td>present<br/>negative</td><td>じゃない<br/>ではない<br/>じゃありません<br/>ではありません</td></tr><tr><td>past<br/>negative</td><td>じゃなかった<br/>ではなかった<br/>じゃありませんでした<br/>ではありませんでした</td></tr></tbody></table>","Example #1今日は暑いですね。hintromajiEnglishきょうはあついですね。kyou wa atsui desu ne.It's pretty hot today, isn't it?",Example #2かれは私の友だちです。hintromajiEnglishかれはわたしのともだちです。kare wa watashi no tomodachi desu.He is my friend.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0-da-%e3%81%a7%e3%81%99-desu-meaning/
dake,だけ,Meaning: only; just; as much as. Learn Japanese Grammar 日本語文法 - JLPT N5 - だけ (dake). Study how to use with examples & vocabulary list.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""4"">だけ</td></tr><tr><td>Noun</td></tr><tr><td>な-adjective + な</td></tr><tr><td>い-adjective</td></tr></tbody></table>",Example #1私の持っているお金はこれだけだ。hintromajiEnglishわたしのもっているおかねはこれだけだ。watashi no motteiru okane wa kore dake da.This is the only money I have.,Example #2ちょっと見ているだけです。hintromajiEnglishちょっとみっているだけです。chotto mitteiru dake desu.I'm just looking around.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%81%91-dake-meaning/
darou,だろう,Meaning: I think; it seems; probably; right? Learn Japanese Grammar 日本語文法 - JLPT N5 - だろう (darou). Study how to use with examples & vocabulary list.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""4"">だろう</td></tr><tr><td>Noun</td></tr><tr><td>な-adjective</td></tr><tr><td>い-adjective</td></tr></tbody></table>",Example #1彼はもうすぐ来るだろう。hintromajiEnglishかれはもうすぐくるだろう。kare wa mou sugu kuru darou.He should be coming any moment now.,Example #2そうだろうと思ったよ。hintromajiEnglishそうだろうとおもった。sou darou to omotta.I thought (figured) as much.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a0%e3%82%8d%e3%81%86-darou-meaning/
de,で,"Learn Japanese grammar: (de) has various meanings, including in; at; on; by; with; via; and even because. The meaning changes based on the context of...","<table class=""table table-bordered table-sm usage""><tbody><tr><td>Noun</td><td>で</td></tr></tbody></table>",Example #1じてんしゃで行きます。hintromajiEnglishじてんしゃをつかうjitensha de ikimasu.I will go by bicycle.,Example #2みんなで行こう！hintromajiEnglishみんなといっしょにいこう！minna de ikou!Let's go together with everyone!,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7-de-particle-meaning/
demo,でも,Learn Japanese grammar: (demo). Meaning: but; however; though ~.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Between 2 clauses</td></tr></tbody></table>",Example #1私は魚が好きです。でも肉も好きです。hintromajiEnglishわたしはさかながすきです。でもにくもすきです。watashi wa sakana ga suki desu. demo niku mo suki desu.I like fish. But I also like meat.,"Example #2パン屋に行きました。でも、何も買いませんでした。hintromajiEnglishパンやにいきました。でも、なにもかいませんでした。panya ni ikimashita. demo, nanimo kaimasen deshita.I went to the bakery, but didn't buy anything.",https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%82%82-demo-meaning/
deshou,でしょう,Meaning: I think; it seems; probably; right? Learn Japanese Grammar 日本語文法 - JLPT N5 - でしょう (deshou). Study how to use with examples & vocabulary list.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>Verb (dictionary form)</td><td rowspan=""4"">でしょう</td></tr><tr><td>Noun</td></tr><tr><td>な-adjective</td></tr><tr><td>い-adjective</td></tr></tbody></table>",Example #1あの人は誰でしょう？hintromajiEnglishあのひとはだれでしょう？ano hito wa dare deshou?I wonder who that person is..,Example #2いいでしょう。hintromajiEnglishいいでしょう。ii deshou.That sounds/seems good.,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a7%e3%81%97%e3%82%87%e3%81%86-deshou-meaning/
donna,どんな,Learn Japanese grammar: (donna). Meaning: what kind of; what sort of. This sentence pattern is used to ask about the state or character of a...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>どんな</td><td>Noun</td></tr></tbody></table>",Example #1ベトナムはどんな国ですか。hintromajiEnglishベトナムはどんなくにですか。betonamu wa donna kuni desu ka.What kind of country is Vietnam?,Example #2どんな仕事をするのですか。hintromajiEnglishどんなしごとをするのですか。donna shigoto o suru no desu ka?What kind of work do you do?,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%82%93%e3%81%aa-donna-meaning/
doushite,どうして,Learn Japanese grammar: (doushite). Meaning: why; for what reason; how. (doushite) has two main meanings: To ask why or for what reason To ask how...,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>can be used mid-sentence or to start new sentence</td></tr></tbody></table>",Example #1どうして来ないの？hintromajiEnglishどうしてこないの？doushite konai no?Why aren't you coming?,Example #2どうしてそうなったの？hintromajiEnglishどうしてそうなったの？doushite sou natta no?How/why did that happen?,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%86%e3%81%97%e3%81%a6-doushite-meaning/
douyatte,どうやって,Learn Japanese grammar: (douyatte). Meaning: how; in what way; by what means​.,"<table class=""table table-bordered table-sm usage""><tbody><tr><td>can be used at beginning or mid-sentence</td></tr></tbody></table>",Example #1駅までどうやって行きますか。hintromajiEnglishえきまでどうやっていきますか。eki made douyatte ikimasu ka.How can I get to the station?,Example #2これはどうやって使いますか。hintromajiEnglishこれはどうやってつかいますか。kore wa douyatte tsukaimasu ka.How do you use this?,https://jlptsensei.com/learn-japanese-grammar/%e3%81%a9%e3%81%86%e3%82%84%e3%81%a3%e3%81%a6-douyatte-meaning/
