name,meaning,info_html,ex1,ex2,source
浴びる,"to bathe, to shower",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e6%b5%b4%e3%81%b3%e3%82%8b-%e3%81%82%e3%81%b3%e3%82%8b-abiru-meaning/
危ない,Learn Japanese vocabulary: 【あぶない】(abunai). Meaning: dangerous; risky; hazardous; perilous.,<em>(No detailed table found)</em>,Example #1彼はとても危ない人だ。ふりがなromajiEnglishかれはとてもあぶないひとだ。kare wa totemo abunai hito da.He is very dangerous man.,Example #2この薬は少し危ないです。ふりがなromajiEnglishこのくすりはすこしあぶないです。kono kusuri wa sukoshi abunai desu.This medicine is a little dangerous.,https://jlptsensei.com/learn-japanese-vocabulary/%e5%8d%b1%e3%81%aa%e3%81%84-%e3%81%82%e3%81%b6%e3%81%aa%e3%81%84-abunai-meaning/
あっち,over there,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e3%81%82%e3%81%a3%e3%81%a1-acchi-meaning/
あちら,Learn Japanese vocabulary: (achira). Meaning: there (place distant from both speaker and listener); over there.,<em>(No detailed table found)</em>,Example #1あちらはあなたのお父さんですか。ふりがなromajiEnglishあちらはあなたのおとうさんですか。achira wa anata no otousan desuka.Is that your father over there?,Example #2あちらのテーブルが空いています。ふりがなromajiEnglishあちらのテーブルがあいています。achira no teeburu ga aite imasu.There is a table free over there.,https://jlptsensei.com/learn-japanese-vocabulary/%e3%81%82%e3%81%a1%e3%82%89-achira-meaning/
上げる,Learn Japanese vocabulary: 【あげる】 (ageru). Meaning:,<em>(No detailed table found)</em>,Example #1手を上げてください。ふりがなromajiEnglishてをあげてください。te wo agete kudasai.Raise your hands.,Example #2私たちはペースを上げた。ふりがなromajiEnglishわたしたちはペースをあげた。watashitachi wa peesu wo ageta.We quickened our pace.,https://jlptsensei.com/learn-japanese-vocabulary/%e4%b8%8a%e3%81%92%e3%82%8b-ageru-meaning-to-raise/
赤,Learn Japanese vocabulary: 【あか】(aka) Meaning: red; crimson; scarlet​.,<em>(No detailed table found)</em>,Example #1私は赤より青の方が好きです。ふりがなromajiEnglishわたしはあかよりあおのほうがすきです。watashi wa aka yori ao no hou ga suki desu.I like blue more than red.,Example #2私の一番すきな色は赤です。ふりがなromajiEnglishわたしのいちばんすきないろはあかです。watashi no ichiban suki na iro wa aka desu.My favorite color is red.,https://jlptsensei.com/learn-japanese-vocabulary/%e8%b5%a4-aka-meaning-red/
赤い,red; crimson; scarlet​,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e8%b5%a4%e3%81%84-akai-meaning-red/
明るい,bright; light,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e6%98%8e%e3%82%8b%e3%81%84-akarui-bright/
開ける,"Learn Japanese vocabulary: (akeru) – Meaning: to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",<em>(No detailed table found)</em>,Example #1窓を開けてください。ふりがなromajiEnglishまどをあけてください。mado wo akete kudasai.Please open up the window.,Example #2それを開けないでください。ふりがなromajiEnglishそれをあけないでください。sore wo akenaide kudasai.Please do not open that.,https://jlptsensei.com/learn-japanese-vocabulary/%e9%96%8b%e3%81%91%e3%82%8b-akeru-to-open/
秋,Learn Japanese vocabulary: 【あき】(aki) Meaning: autumn; fall.,<em>(No detailed table found)</em>,Example #1秋になりました。ふりがなromajiEnglishあきになりました。aki ni nari mashita.Autumn is here.,Example #2秋に産まれました。ふりがなromajiEnglishあきにうまれました。aki ni umaremashita.I was born in the fall.,https://jlptsensei.com/learn-japanese-vocabulary/%e7%a7%8b-aki-meaning-autumn/
開く,"to open (e.g. doors, business, etc)",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e9%96%8b%e3%81%8f-aku-to-open/
甘い,Learn Japanese vocabulary: (amai) – Meaning: sweet; sweet-tasting; sugary; naive; indulgent.,<em>(No detailed table found)</em>,Example #1甘い食べ物が好きです。ふりがなromajiEnglishあまいたべものがすきです。amai tabemono ga suki desu.I like sweet foods.,Example #2それはお菓子よりも甘い。ふりがなromajiEnglishこれはおかしよりもあまい。kore wa okashi yori mo amai.This is sweeter than sweets.,https://jlptsensei.com/learn-japanese-vocabulary/%e7%94%98%e3%81%84-amai-sweet/
雨,Learn Japanese vocabulary: 【あめ】(ame) Meaning: rain.,<em>(No detailed table found)</em>,Example #1明日は雨が降る。ふりがなromajiEnglishあしたはあめがふる。ashita wa ame ga furu.It's going to rain tomorrow.,Example #2雨が降りそうですね。ふりがなromajiEnglishあめがふりそうですね。ame ga furisou desune.It looks like it's going to rain.,https://jlptsensei.com/learn-japanese-vocabulary/%e9%9b%a8-ame-meaning-rain/
飴,Learn Japanese vocabulary: 【あめ】(ame). Meaning: candy.,<em>(No detailed table found)</em>,Example #1私もその飴が欲しいです。ふりがなromajiEnglishわたしもそのあめがほしいです。watashi mo sono ame ga hoshii desu.I also want that candy.,Example #2彼は飴があまり好きじゃない。ふりがなromajiEnglishかれはあめがあまりすきじゃない。kare wa ame ga amari suki janai.He doesn't like candy,https://jlptsensei.com/learn-japanese-vocabulary/%e9%a3%b4-%e3%81%82%e3%82%81-ame-meanin/
あなた,you,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e3%81%82%e3%81%aa%e3%81%9f-anata-meaning/
姉,Learn Japanese vocabulary: 【あね】(ane) Meaning: older sister; elder sister​. Study Notes: 姉 (ane) is the more casual version of お姉さん (oneesan) It is usually used...,<em>(No detailed table found)</em>,Example #1私の姉は背が高い。ふりがなromajiEnglishわたしのあねはせがたかい。watashi no ane wa se ga takai.My older sister is tall.,Example #2私の姉は２０代だ。ふりがなromajiEnglishわたしのあねは２０だいだ。watashi no ane wa 20 dai da.My older sister is in her twenties.,https://jlptsensei.com/learn-japanese-vocabulary/%e5%a7%89-ane-meaning-sister/
兄,elder brother; older brother​,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e5%85%84-ani-meaning-older-brother%e2%80%8b/
あの,Learn Japanese vocabulary: (ano). Meaning: that.,<em>(No detailed table found)</em>,Example #1あの猫は大きいですか。ふりがなromajiEnglishあのねこはおおきいですか。ano neko wa ookii desuka.Is that cat big?,Example #2あの男が帰って来た。ふりがなromajiEnglishあのおとこがかえってきた。ano otoko ga kaette kita.That man came back.,https://jlptsensei.com/learn-japanese-vocabulary/%e3%81%82%e3%81%ae-ano-meaning/
青,Learn Japanese vocabulary: 【あお】(ao) Meaning: blue; azure (but can also mean green for things like traffic lights),<em>(No detailed table found)</em>,Example #1青りんごが大好きです。ふりがなromajiEnglishあおりんごがだいすきですaoi ringo ga daisuki desu.I love green apples.,"Example #2青はすすめの信号です。ふりがなromajiEnglishあおはすすめのしんごです。ao wa susume no shingo desu.The green light is the ""go"" signal.",https://jlptsensei.com/learn-japanese-vocabulary/%e9%9d%92-ao-meaning-blue/
青い,blue; azure,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e9%9d%92%e3%81%84-aoi-meaning-blue/
アパート,Learn Japanese vocabulary: (apaato). Meaning: apartment.,<em>(No detailed table found)</em>,Example #1私はそのアパートを見に行きたい。ふりがなromajiEnglishわたしはそのアパートをみにいきたい。watashi wa sono apaato o mi ni ikitai.I want to go see that apartment.,Example #2いいアパートを見つかりましたか？ふりがなromajiEnglishいいアパートをみつかりましたか？ii apaato o mitsukari mashita ka?Did you find a good apartment?,https://jlptsensei.com/learn-japanese-vocabulary/%e3%82%a2%e3%83%91%e3%83%bc%e3%83%88-apaato-meaning/
洗う,to wash,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-vocabulary/%e6%b4%97%e3%81%86-%e3%81%82%e3%82%89%e3%81%86-arau-meaning/
あれ,"Learn Japanese vocabulary: (are). Meaning: that (indicating something distant from both speaker and listener (in space, time or psychologically).",<em>(No detailed table found)</em>,Example #1あれは何だ？ふりがなromajiEnglishあれはなんだ？are wa nan da?What's that?,Example #2あれは彼のじてんしゃです。ふりがなromajiEnglishあれはかれのじてんしゃです。are wa kare no jitensha desu.That is his bicycle.,https://jlptsensei.com/learn-japanese-vocabulary/%e3%81%82%e3%82%8c-are-meaning/
ある,"Learn Japanese vocabulary: (aru). Meaning: to be,to have (used for inanimate objects).",<em>(No detailed table found)</em>,Example #1私は今じかんがある。ふりがなromajiEnglishわたしはいまじかんがある。watashi wa ima jikan ga aru.I have time now.,Example #2私は明日テストがある。ふりがなromajiEnglishわたしはあしたテストがある。watashi wa ashita tesuto ga aru.I have a test tomorrow.,https://jlptsensei.com/learn-japanese-vocabulary/%e3%81%82%e3%82%8b-aru-meaning/
