name,meaning,info_html,ex1,ex2,source
象,Learn Japanese kanji: 【 ショウ、 ゾウ / かたど(る) 】. Meaning: elephant; pattern after; image; shape.,<em>(No detailed table found)</em>,Example #1この公園には象が多いです。ふりがなromajiEnglishこのこうえんにはぞうがおおいです。kono kouen ni wa zou ga ooi desu.There are many elephants in this park.,Example #2これは珍しい現象ではない。ふりがなromajiEnglishこれはめずらしいげんしょうではない。kore wa mezurashii genshou dewa nai.This is not an uncommon phenomenon.,https://jlptsensei.com/learn-japanese-kanji/%e8%b1%a1-shou-zou-katadoru-meaning-elephant-pattern-image-shape/
域,Learn Japanese kanji: 【 イキ 】. Meaning: range; region; limits; stage; level.,<em>(No detailed table found)</em>,Example #1この地域は商店が多いです。ふりがなromajiEnglishこのちいきはしょうてんがおおいです。kono chiiki wa shouten ga ooi desu.There are many shops in this area.,Example #2あなたの地域はまだ暑いですか。ふりがなromajiEnglishあなたのちいきはまだあついですか。anata no chiiki wa mada atsui desuka?Is your region still hot?,https://jlptsensei.com/learn-japanese-kanji/%e5%9f%9f-iki-meaning-range-region-limits-stage-level/
額,forehead; tablet; framed picture; sum; amount; volume,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e9%a1%8d-gaku-hitai-meaning-forehead-framed-picture-sum-amount/
欧,Europe,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%ac%a7-ou-meaning-europe/
担,shouldering; carry; raise; bear,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%8b%85-tan-katsugu-ninau-meaning-shouldering-carry-raise-bear/
準,Learn Japanese kanji: 【 ジュン / じゅん(じる)、 なぞら(える) 】. Meaning: semi-; correspond to; imitate.,<em>(No detailed table found)</em>,Example #1私は仕事の準備が完了した。ふりがなromajiEnglishわたしはしごとのじゅんびがかんりょうした。watashi wa shigoto no junbi ga kanryou shita.I finished preparing for my work.,Example #2彼らは準決勝に進出する予定だ。ふりがなromajiEnglishかれらはじゅんけっしょうにしんしゅつするよていだ。karera wa junkesshou ni shinshutsu suru yotei da.They will advance to the semi-finals.,https://jlptsensei.com/learn-japanese-kanji/%e6%ba%96-jun-junjiru-nazoraeru-meaning-semi-correspond-to-imitate/
賞,Learn Japanese kanji: 【 ショウ / ほ(める) 】. Meaning: prize; reward; praise.,<em>(No detailed table found)</em>,Example #1彼女は受賞者の一人だ。ふりがなromajiEnglishかのじょはじゅしょうしゃのひとりだ。kanojo wa jushousha no hitori da.She's among the prize winners.,Example #2彼は全国大会で入賞した。ふりがなromajiEnglishかれはぜんこくたいかいでにゅうしょうした。kare wa zenkoku taikai de nyuushou shita.He won the national competition.,https://jlptsensei.com/learn-japanese-kanji/%e8%b3%9e-shou-homeru-meaning-prize-reward-praise/
辺,environs; boundary; border; vicinity,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%be%ba-hen-atari-hotori-meaning-environs-boundary-border-vicinity/
造,Learn Japanese kanji: 【 ゾウ / つく(る) 】. Meaning: create; make; structure; physique.,<em>(No detailed table found)</em>,Example #1彼らの家は改造中です。ふりがなromajiEnglishかれらのいえはかいぞうちゅうです。karera no ie wa kaizouchuu desu.Their house is being remodeled.,Example #2この会社は機械を製造します。ふりがなromajiEnglishこのかいしゃはきかいをせいぞうします。kono kaisha wa kikai o seizou shimasu.This company manufactures machines.,https://jlptsensei.com/learn-japanese-kanji/%e9%80%a0-zou-tsukuru-meaning-create-make-structure-physique/
被,Learn Japanese kanji: 【 ヒ / こうむ(る)、 かぶ(る) 】. Meaning: incur; cover; shelter; wear; put on.,<em>(No detailed table found)</em>,Example #1私は白い帽子を被っている。ふりがなromajiEnglishわたしはしろいぼうしをかぶっている。watashi wa shiroi boushi o kabutte iru.I am wearing a white hat.,Example #2彼らは被災者に食料を支給した。ふりがなromajiEnglishかれらはひさいしゃにしょくりょうをしきゅうした。karera wa hisaisha ni shokuryou o shikyuu shita.They provided food to the victims.,https://jlptsensei.com/learn-japanese-kanji/%e8%a2%ab-hi-koumuru-kaburu-meaning-incur-cover-shelter-wear-put-on/
技,skill; art; craft; ability; vocation; arts,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%8a%80-gi-waza-meaning-skill-art-craft-ability-vocation-arts/
低,Learn Japanese kanji: 【 テイ / ひく(い) 】. Meaning: lower; short; humble.,<em>(No detailed table found)</em>,Example #1私の血圧は低いです。ふりがなromajiEnglishわたしのけつあつはひくいです。watashi no ketsuatsu wa hikui desu.My blood pressure is low.,Example #2どのローンが低金利ですか。ふりがなromajiEnglishどのローンがていきんりですか。dono roon ga teikinri desuka?Which loan has the lowest interest rate?,https://jlptsensei.com/learn-japanese-kanji/%e4%bd%8e-tei-hikui-meaning-lower-short-humble/
復,"restore, return to, revert",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e5%be%a9-fuku-mata-meaning-restore-return-to-revert/
移,"shift, move, change",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e7%a7%bb-meaning-shift-move-change/
