name,meaning,info_html,ex1,ex2,source
会,"Learn Japanese kanji: 【 カイ / あ(う) 】 Meaning: meeting, meet, party, association, interview, join.",<em>(No detailed table found)</em>,Example #1会社は明日まで休みです。ふりがなromajiEnglishかいしゃはあしたまでやすみです。kaisha wa ashita made yasumi desu.The company is closed until tomorrow.,Example #2先週はおばあちゃんに会いに行った。ふりがなromajiEnglishせんしゅうはおばあちゃんにあいにいった。senshuu wa obaachan ni ai ni itta.I went to visit my grandmother last week.,https://jlptsensei.com/learn-japanese-kanji/%e4%bc%9a-kai-au-meet/
同,"Learn Japanese kanji: 【 ドウ / おな(じ) 】 Meaning: same, agree, equal.",<em>(No detailed table found)</em>,Example #1私も同じです！ふりがなromajiEnglishわたしもおなじです！watashi mo onaji desu!Me too!,Example #2私も同じカバンをもっています。ふりがなromajiEnglishわたしもおなじかばんをもっています。watashi mo onaji kaban o motteimasu.I have the same bag!,https://jlptsensei.com/learn-japanese-kanji/%e5%90%8c-dou-onaji-same-agree/
事,"Learn Japanese kanji: 【 ジ / こと 】 Meaning: matter, thing, fact, business, reason, possibly.",<em>(No detailed table found)</em>,Example #1あなたの仕事は何ですか？ふりがなromajiEnglishあなたのしごとはなんですか？anata no shigoto wa nan desu ka?What is your job?,"Example #2昨日、事故がありました。ふりがなromajiEnglishきのう、じこがありました。kinou, jiko ga arimashita.There was an accident yesterday.",https://jlptsensei.com/learn-japanese-kanji/%e4%ba%8b-ji-koto-matter-thing/
自,oneself,<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%87%aa-ji-mizukara-oneself/
社,"company, firm, office, association, shrine",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e7%a4%be-sha-company/
発,"Learn Japanese kanji: 【 ハツ、 ホツ 】 Meaning: departure, discharge, publish, emit, start from, disclose, counter for gunshots.",<em>(No detailed table found)</em>,"Example #1ある日、私はそれを発見しました。ふりがなromajiEnglishあるひ、わたしはそれをはっけんしました。aru hi, watashi wa sore o hakken shimashita.I discovered that one day.",Example #2新しい作品を発表したいと思います。ふりがなromajiEnglishあたらしいさくひんをはっぴょうしたいとおもいます。atarashii sakuhin o happyou shitai to omoimasu.I would like to announce the new product.,https://jlptsensei.com/learn-japanese-kanji/%e7%99%ba-hatsu-departure/
者,"someone, person",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e8%80%85-sha-mono-someone/
地,"Learn Japanese kanji: 【チ、 ジ】 Meaning: ground, earth.",<em>(No detailed table found)</em>,Example #1この地図は分かりにくい。ふりがなromajiEnglishこのちずはわかりにくい。kono chizu wa wakarinikui.This map is difficult to understand.,"Example #2毎日、地下鉄を乗ります。ふりがなromajiEnglishまいにち、ちかてつをのります。mainichi, chikatetsu o norimasu.I ride the subway everyday.",https://jlptsensei.com/learn-japanese-kanji/%e5%9c%b0-chi-ji-ground-earth/
業,"business, vocation, arts, performance",<em>(No detailed table found)</em>,,,https://jlptsensei.com/learn-japanese-kanji/%e6%a5%ad-gyou-waza-business/
方,"Learn Japanese kanji: 【 ホウ / かた 】 Meaning: direction, person, alternative.",<em>(No detailed table found)</em>,Example #1あなたの考え方は正しいです。ふりがなromajiEnglishあなたのかんがえかたはただしいです。anata no kangaekata wa tadashii desu.Your way of thinking is correct.,Example #2もっと簡単な方法を教えてあげる。ふりがなromajiEnglishもっとかんたんなほうほうをおしえてあげる。motto kantan na houhou o oshiete ageru.I'l teach you a simpler way to do do that.,https://jlptsensei.com/learn-japanese-kanji/%e6%96%b9-hou-kata-direction-person/
