name,meaning,info_html,ex1,ex2,source
日,"Learn Japanese kanji: 日 (ニチ, ジツ / ひ, -び, -か) - Meaning: day, sun, Japan, counter for days. Common words & example sentences: 日曜日、毎日、休日",<em>(No detailed table found)</em>,Example #1毎日、日本語を勉強します。ふりがなromajiEnglishまいにち、にほんごをべんきょうします。mainichi nihongo o benkyou shimasu.I study Japanese everyday.,"Example #2ある日、私は彼に会った。ふりがなromajiEnglishあるひ、わたしはかれにあった。aru hi, watashi wa kare ni atta.One day I met him.",https://jlptsensei.com/learn-japanese-kanji/%e6%97%a5-nichi-jitsu-day-sun/
一,Learn Japanese kanji: 【 イチ / ひと(つ) 】 Meaning: one.,<em>(No detailed table found)</em>,Example #1一人で学校へ行きます。ふりがなromajiEnglishひとりでがっこうへいきます。hitori de gakkou he ikimasu.I go to school alone.,Example #2たい焼き一匹ください。ふりがなromajiEnglishたいやきいっぴきください。taiyaki ippiki kudasai.One taiyaki please.,https://jlptsensei.com/learn-japanese-kanji/%e4%b8%80-ichi-hito-tsu-one/
国,Learn Japanese kanji: 【 コク / くに 】 Meaning: country.,<em>(No detailed table found)</em>,Example #1あなたはどこの国から来ましたか？ふりがなromajiEnglishあなたはどこのくにからきましたか？anata wa doko no kuni kara kimashita ka?What country did you come from?,Example #2彼は外国に長年住んでいた。ふりがなromajiEnglishかれはがいこくにながねんすんでいた。kare wa gaikoku ni naganen sundeita.He lived abroad for many years.,https://jlptsensei.com/learn-japanese-kanji/%e5%9b%bd-koku-kuni-country/
人,Learn Japanese kanji: 【 ジン、 ニン / ひと 】 Meaning: person.,<em>(No detailed table found)</em>,Example #1私はアメリカ人です。ふりがなromajiEnglishわたしはあめりかじんです。watashi wa amerikajin desu.I am American.,Example #2私の兄は人気がある。ふりがなromajiEnglishわたしのあにはにんきがある。watashi no ani wa ninki ga aru.My older brother is popular.,https://jlptsensei.com/learn-japanese-kanji/%e4%ba%ba-jin-hito-person/
年,"Learn Japanese kanji: 【ネン / とし】 Meaning: year, counter for years.",<em>(No detailed table found)</em>,Example #1お年はいくつですか？ふりがなromajiEnglishおとしはいくつですか？otoshi wa ikutsu desu ka?How old are you?,Example #2去年日本へ行きました。ふりがなromajiEnglishきょねんにほんへいきました。kyonen nihon he ikimashita.I went to Japan last year.,https://jlptsensei.com/learn-japanese-kanji/%e5%b9%b4-nen-toshi-year/
大,"Learn Japanese kanji: 【 ダイ、 タイ / おお(きい) 】 Meaning: large, big.",<em>(No detailed table found)</em>,Example #1あなたのことが大好きだ。ふりがなromajiEnglishあなたのことがだいすきだ。anata no koto ga daisuki da.I love you! (or like you a lot),Example #2このハンバーガーは大きいですね。ふりがなromajiEnglishこのハンバーガーはおおきいですね。kono hanbaagaa wa ookii desune.This hamburger is huge.,https://jlptsensei.com/learn-japanese-kanji/%e5%a4%a7-dai-tai-ookii-large-big/
十,"Learn Japanese kanji: 【 ジュウ / とお、 と 】 Meaning: ten, 10.",<em>(No detailed table found)</em>,Example #1今日は十四日です。ふりがなromajiEnglishきょうはじゅうよんにちです。kyou wa juuyon nichi desu.Today is the 14th.,Example #2来月二十歳になります。ふりがなromajiEnglishらいげつはたちになります。raigetsu hatachi ni narimasu.I turn 20 next month.,https://jlptsensei.com/learn-japanese-kanji/%e5%8d%81-juu-ten-10/
二,"Learn Japanese kanji: 【 ニ、 ジ / ふた(つ)、 ふたたび 】 Meaning: two, 2.",<em>(No detailed table found)</em>,Example #1水を二つください！ふりがなromajiEnglishみずをふたつください！mizu o futatsu kudasai!2 waters please!,Example #2二月はとても寒いです。ふりがなromajiEnglishにがつはとてもさむいです。ni gatsu wa totemo samui desu.February is very cold.,https://jlptsensei.com/learn-japanese-kanji/%e4%ba%8c-ni-futatsu-two-2/
本,"Learn Japanese kanji: 【 ホン / もと 】 Meaning: book, present, main, origin, true, real, counter for long cylindrical things.",<em>(No detailed table found)</em>,Example #1この本を読んだことがありますか？ふりがなromajiEnglishこのほんをよんだことがありますか？kono hon o yonda koto ga arimasu ka?Have you ever read this book?,Example #2来月日本に行きます。ふりがなromajiEnglishらいげつにほんにいきます。raigetsu nihon ni ikimasu.I will go to Japan next month.,https://jlptsensei.com/learn-japanese-kanji/%e6%9c%ac-hon-moto-book-true/
中,"Learn Japanese kanji: 【 チュウ / なか、 うち、 あた(る) 】 Meaning: in, inside, middle, mean, center.",<em>(No detailed table found)</em>,Example #1中国に行ったことがありますか？ふりがなromajiEnglishちゅうごくにいったことがありますか？chuugoku ni itta koto ga arimasu ka?Have you ever been to China before?,Example #2今は家の中にいますよ。ふりがなromajiEnglishいまはいえのなかにいますよ。ima wa ie no naka ni imasu yo.I'm inside the house right now.,https://jlptsensei.com/learn-japanese-kanji/%e4%b8%ad-chuu-naka-inside-center/
